time,x_maximum
6.023861229509907389e+02,1.255410496153622191e+01
6.030601745540627689e+02,1.304149579237923540e+01
6.037556214438754978e+02,1.368468371105327819e+01
6.044938434844698349e+02,1.466268178407540113e+01
6.054402571823047765e+02,1.718643641965996594e+01
6.090573268641481945e+02,1.583473592376600081e+01
6.114664791585291823e+02,1.179217443318316327e+01
6.121170533624845120e+02,1.211161277549984128e+01
6.127762155154290440e+02,1.248296431803949069e+01
6.134475076812499310e+02,1.294357101932453169e+01
6.141380722484308308e+02,1.354937090330161276e+01
6.148653054042193844e+02,1.444043946504675446e+01
6.157153647021577854e+02,1.629231586431233225e+01
6.180007652168251298e+02,1.598929184563451322e+01
6.202669606725116864e+02,1.377110792735069289e+01
6.210131712959218930e+02,1.481479174466336346e+01
6.227337135269501687e+02,1.146280572162756783e+01
6.233767554821773729e+02,1.173026137723023332e+01
6.240258044465949752e+02,1.202832733132496656e+01
6.246825752032112860e+02,1.238226878141859366e+01
6.253503209255317188e+02,1.281660807590702511e+01
6.260350080526212651e+02,1.337770814538846587e+01
6.267500587473240330e+02,1.417300589420703005e+01
6.275447779967830684e+02,1.559899140384939642e+01
6.291382892135675320e+02,1.614032280586385681e+01
6.313913268557439551e+02,1.488389254160242103e+01
6.330035471365764579e+02,1.242273365323723944e+01
6.336728066786447471e+02,1.287512151543986860e+01
6.343601425073725295e+02,1.345632309870775956e+01
6.350805551256396484e+02,1.429367872978924758e+01
6.358965096772504921e+02,1.588553292762413882e+01
6.382160349120694036e+02,1.272295682606431377e+01
6.388968195474376444e+02,1.326009718524475289e+01
6.396044489822365904e+02,1.399747614969679965e+01
6.403747779476495907e+02,1.523057654565742425e+01
6.419128833802790268e+02,1.440374924676591029e+01
6.427535301667556951e+02,1.618597155659525910e+01
6.450109557125418860e+02,1.520104143868526592e+01
6.465493121010032382e+02,1.427231628387234785e+01
6.473613921251641159e+02,1.583546430127880811e+01
6.497685233554549313e+02,1.180838076639171952e+01
6.504195026595335776e+02,1.213063991096754179e+01
6.510792267131042763e+02,1.250609036521982631e+01
6.517513631467226105e+02,1.297297155213954944e+01
6.524433599269768820e+02,1.358971570702304099e+01
6.531737275242568330e+02,1.450553682497405994e+01
6.540437167349048195e+02,1.650470118353863924e+01
6.570571284825550720e+02,1.266803785165125440e+01
6.577356474020942869e+02,1.318836575943647915e+01
6.584390655465768987e+02,1.389304987441922812e+01
6.591973898399061227e+02,1.503074470245118555e+01
6.607521684396426735e+02,1.343107882014026799e+01
6.614709907362835111e+02,1.425906203322509924e+01
6.622803681767135231e+02,1.579981140051664390e+01
6.641234134795090540e+02,1.815669084161615743e+01
6.703069510160853497e+02,1.451140454870989238e+01
6.711792896492579530e+02,1.652871600625138981e+01
6.741644823289490205e+02,1.308068270301872893e+01
6.748621323883696732e+02,1.374499985627321053e+01
6.756057299311742099e+02,1.476564734515346267e+01
6.766989464658100815e+02,1.809370390711644916e+01
6.829925406758485451e+02,1.242843445975652372e+01
6.836620006915713930e+02,1.288227960508692149e+01
6.843496674485703579e+02,1.346599764084022688e+01
6.850707642702005842e+02,1.430873132625763766e+01
6.858897220682786156e+02,1.592383018311606335e+01
6.881813393854664582e+02,1.316942239614979471e+01
6.888838417786543005e+02,1.387090954665516662e+01
6.896398078681728521e+02,1.498985314773588051e+01
6.912040466268937280e+02,1.319472214773934304e+01
6.919079898169753733e+02,1.390728923635871972e+01
6.926678630896911955e+02,1.505730057522116994e+01
6.942179785689385199e+02,1.357446690010073276e+01
6.949473224937652276e+02,1.448494353539459745e+01
6.958105645484032493e+02,1.643467482356554399e+01
6.982665737561181913e+02,1.771936673145345509e+01
7.031674284951765230e+02,1.477824261271556949e+01
7.043222565806687498e+02,1.836807011622734365e+01
7.111358013289469682e+02,1.519638062002429812e+01
7.126742558148494027e+02,1.425110839565942733e+01
7.134824139086747437e+02,1.578375410629652364e+01
7.152527204312352751e+02,1.776686187401559280e+01
7.201610514256798297e+02,1.560623138114270070e+01
7.217574178050642786e+02,1.618329108040671116e+01
7.240144896764975329e+02,1.518285592817153073e+01
7.255533217322522432e+02,1.418923394083961043e+01
7.263508619484568953e+02,1.563888514928878593e+01
7.279612892199282896e+02,1.637931031411685368e+01
7.303060198737819064e+02,1.681636043005793724e+01
7.332752572209210484e+02,1.613485452904376771e+01
7.355280187511345957e+02,1.484590405973650817e+01
7.371789750284007141e+02,1.200775082679807682e+01
7.378352328294203062e+02,1.236701412600331196e+01
7.385024590533655555e+02,1.279751858416768329e+01
7.391863032635405943e+02,1.335223702411495061e+01
7.398996884605847981e+02,1.413450520686757450e+01
7.406885030671624008e+02,1.551397629332755912e+01
7.422567662674192661e+02,1.569127286535515431e+01
7.438981094180189757e+02,1.674356088088391559e+01
7.468386925920702879e+02,1.538620456906748046e+01
7.483855510094825831e+02,1.509595025191944551e+01
7.499304562532544196e+02,1.377501925424613560e+01
7.506770368524573769e+02,1.482163365562338342e+01
7.523760542298684868e+02,1.161161792728813147e+01
7.530223401452873304e+02,1.190135675074596655e+01
7.536756685253127444e+02,1.223033322318561744e+01
7.543384356928904708e+02,1.262803950397065655e+01
7.550152205494657665e+02,1.312961266589548970e+01
7.557153500550800800e+02,1.380886071702646056e+01
7.564650115139065747e+02,1.487768105510682481e+01
7.580826723480920464e+02,1.235720177474432369e+01
7.587496736681382572e+02,1.279321782697495102e+01
7.594333293909070335e+02,1.334651081007944384e+01
7.601463447654427910e+02,1.412588813441264968e+01
7.609338857890570580e+02,1.549530839240925317e+01
7.624979960662553822e+02,1.559987982992405797e+01
7.640919268678164826e+02,1.614672112893033074e+01
7.663453543659342131e+02,1.492831814478515540e+01
7.679313027013748751e+02,1.278929026142777481e+01
7.686149283390147957e+02,1.334760978272733567e+01
7.693280145746242624e+02,1.412754123822994679e+01
7.701157986234112514e+02,1.549887985945401780e+01
7.716806718303088246e+02,1.561721496584510582e+01
7.732814789341742880e+02,1.624783395686525367e+01
7.755515690246362510e+02,1.564592733040475991e+01
7.771655752342657024e+02,1.642566446222873822e+01
7.795908291948895794e+02,1.751361759406910679e+01
7.838632981497612491e+02,1.590777773538373729e+01
7.861647385982432752e+02,1.299670456250463602e+01
7.868580647861748503e+02,1.362810203537573805e+01
7.875915232455723753e+02,1.456836761586242091e+01
7.884854870434653549e+02,1.673933649837507431e+01
7.914251830914282664e+02,1.534532255810993462e+01
7.929680909288823614e+02,1.491397176810289338e+01
7.945611809506254986e+02,1.267984272934321943e+01
7.952401804960021536e+02,1.320373114144785198e+01
7.959444820424657792e+02,1.391526251657836433e+01
7.967052340378249937e+02,1.507226032076641964e+01
7.982531436961716054e+02,1.365247931765029499e+01
7.989888005032801175e+02,1.461270369770466360e+01
7.999040261735794957e+02,1.693065904318491732e+01
8.037852381019800987e+02,1.110219624201378608e+01
8.044213782774355650e+02,1.132265324979649712e+01
8.050616883551650744e+02,1.155773978329964358e+01
8.057068034971282486e+02,1.182746397048563836e+01
8.063582350857498113e+02,1.214272371355730584e+01
8.070183190662287416e+02,1.252080043665479003e+01
8.076909985243664778e+02,1.299172162238954442e+01
8.083839235051592595e+02,1.361556907551685214e+01
8.091163607503756339e+02,1.454775445564475334e+01
8.100018045194702836e+02,1.665837827633626844e+01
8.129366855028741838e+02,1.457408461532909705e+01
8.138335546449727644e+02,1.676641260525204657e+01
8.167801683402931303e+02,1.560926164134613892e+01
8.183777300735441713e+02,1.620092788381800020e+01
8.206374643666376869e+02,1.530687196190818078e+01
8.221777501043223992e+02,1.474407203698363666e+01
8.232182932167382887e+02,1.781523721476999711e+01
8.281737383502029388e+02,1.657953772742821030e+01
8.311268082868438114e+02,1.375048732508651206e+01
8.318710930008174955e+02,1.477892027439155065e+01
8.330255929263578309e+02,1.836672220768971897e+01
8.398389382732601689e+02,1.516170875749109470e+01
8.413786464554190161e+02,1.409135498947093446e+01
8.421614529842024695e+02,1.542502070216974985e+01
8.437132111808450645e+02,1.527005137291094172e+01
8.452519435703183035e+02,1.458133279368989044e+01
8.461520841853626962e+02,1.679649985652616451e+01
8.491104656377347055e+02,1.591727770298966149e+01
8.514058014963832193e+02,1.310155933253067317e+01
8.521045658999890975e+02,1.377439212463408680e+01
8.528509041454414046e+02,1.481680591828034643e+01
8.545644487470863169e+02,1.150958030459382897e+01
8.552084835559602425e+02,1.178384037211088398e+01
8.558588303943497522e+02,1.209126889871189547e+01
8.565173982473054366e+02,1.245828763716584575e+01
8.571878020461424512e+02,1.291230093829201309e+01
8.578768736311607199e+02,1.350671338766470164e+01
8.586009120995876174e+02,1.437259603814308484e+01
8.594337390429523111e+02,1.609422252225221683e+01
8.616860916995035495e+02,1.456089333221146909e+01
8.625772705806903105e+02,1.671320819265208257e+01
8.655129792603864871e+02,1.509654794734201211e+01
8.670578184970268012e+02,1.377799757779370005e+01
8.678046818344619169e+02,1.482685172759773273e+01
8.694906499352180163e+02,1.170952112466327044e+01
8.701392108442014433e+02,1.201497984238586803e+01
8.707956084210959489e+02,1.236621077052741668e+01
8.714628073992674899e+02,1.279651331753437482e+01
8.721466075028328078e+02,1.335089803928650731e+01
8.728599060731214649e+02,1.413248899311945195e+01
8.736484211782156990e+02,1.550959702517963379e+01
8.752156728105530874e+02,1.566965409921395391e+01
8.768427668009483114e+02,1.658510711613450539e+01
8.797935899201348775e+02,1.381451835015647411e+01
8.805439936556239218e+02,1.489142919258437914e+01
8.821512084557302842e+02,1.248576531031914882e+01
8.828227215826043448e+02,1.295457066707598592e+01
8.835138187204609039e+02,1.356443833986656955e+01
8.842422092567567233e+02,1.446464213706325808e+01
8.850992200608546909e+02,1.636832330924175949e+01
8.874327130407316417e+02,1.669110071421284758e+01
8.903668923111207505e+02,1.488755474047399829e+01
8.919764016983396004e+02,1.245651548360321748e+01
8.926468588511870621e+02,1.291761826112123934e+01
8.933361821612631957e+02,1.351394962789821186e+01
8.940607542442251088e+02,1.438403594218031323e+01
8.948962849055438937e+02,1.612626112948654367e+01
8.971487155474161455e+02,1.478547958599113521e+01
8.983701889869962542e+02,1.861397480139575222e+01
